Name,Artist,Duration,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
Like a Rolling Stone,Bob Dylan,6:09,0.731,0.482,0.721,0,0.189,-6.839,0.0321,95.263,0.557
(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,3:42,0.0354,0.722,0.882,0.0496,0.119,-6.763,0.0348,136.299,0.921
Imagine - Remastered 2010,John Lennon,3:07,0.907,0.547,0.257,0.183,0.0935,-12.358,0.0252,75.752,0.169
Purple Rain,Prince,8:40,0.0353,0.367,0.452,0.00228,0.689,-10.422,0.0307,113.066,0.189
What's Going On,Marvin Gaye,3:53,0.403,0.28,0.72,1.36E-06,0.394,-9.668,0.111,202.523,0.805
Respect,Aretha Franklin,2:22,0.15,0.819,0.537,2.18E-04,0.0871,-5.223,0.0414,115.086,0.963
Come Together - Remastered,The Beatles,4:19,0.0302,0.533,0.376,0.248,0.0926,-11.913,0.0393,165.007,0.187
Good Vibrations - Remastered 2001,The Beach Boys,3:37,0.387,0.403,0.495,8.03E-06,0.147,-6.888,0.0312,132.912,0.38
Owner Of A Lonely Heart,Yes,4:26,0.252,0.733,0.553,0.00257,0.147,-13.924,0.0382,124.993,0.934
Johnny B. Goode - Single Version,Chuck Berry,2:37,0.716,0.464,0.918,5.69E-05,0.313,-4.247,0.131,170.269,0.966
Smells Like Teen Spirit,Nirvana,5:00,1.62E-05,0.48,0.875,7.51E-04,0.103,-5.898,0.0429,116.754,0.826
Heroes - 1999 Remaster,David Bowie,6:10,2.65E-04,0.478,0.774,0.585,0.191,-6.977,0.0292,112.577,0.429
In The Air Tonight,Phil Collins,5:33,0.669,0.597,0.313,6.23E-06,0.0734,-10.791,0.0265,94.987,0.357
Let It Be - Remastered 2015,The Beatles,3:50,0.58,0.445,0.436,2.63E-05,0.112,-8.536,0.0332,139.848,0.483
"What'd I Say, Pt. 1 & 2 - 2005 Mono Remaster",Ray Charles,5:04,0.732,0.399,0.534,0,0.434,-9.931,0.122,177.375,0.816
Riders on the Storm,The Doors,7:14,0.25,0.55,0.722,0.0129,0.11,-11.729,0.0283,103.886,0.716
My Generation - Shel Talmy Stereo Version,The Who,3:21,0.00875,0.444,0.896,4.55E-05,0.294,-5.704,0.0523,94.991,0.804
A Change Is Gonna Come,Sam Cooke,3:11,0.764,0.32,0.391,0,0.291,-10.086,0.0318,86.433,0.49
Blowin' in the Wind,Bob Dylan,2:45,0.914,0.38,0.0993,2.32E-05,0.0605,-20.567,0.0509,174.874,0.44
London Calling,The Clash,3:19,0.0738,0.653,0.797,0,0.0847,-6.958,0.048,133.725,0.726
Purple Haze,Jimi Hendrix,2:52,0.00646,0.525,0.897,0.731,0.0639,-5.194,0.0727,108.578,0.448
September,"Earth, Wind & Fire",3:36,0.174,0.689,0.912,2.43E-04,0.298,-3.673,0.0302,125.94,0.982
Dance The Night Away,Van Halen,3:09,0.0672,0.526,0.891,0,0.0472,-4.508,0.0732,129.001,0.689
Hooked On A Feeling,Blue Swede,2:52,0.261,0.547,0.82,0,0.3,-6.728,0.0805,118.208,0.933
Maybellene - Single Version,Chuck Berry,2:19,0.681,0.766,0.817,0,0.134,-7.293,0.107,117.456,0.726
Take on Me,a-ha,3:45,0.018,0.573,0.902,0.00125,0.0928,-7.638,0.054,84.412,0.876
Hound Dog,Elvis Presley,2:16,0.703,0.397,0.829,5.55E-04,0.806,-6.078,0.0668,174.801,0.947
Hotel California - 2013 Remaster,Eagles,6:31,0.00574,0.579,0.508,4.94E-04,0.0575,-9.484,0.027,147.125,0.609
Everywhere,Fleetwood Mac,3:42,0.218,0.69,0.54,0.00657,0.115,-10.516,0.0317,114.846,0.764
Let's Go Crazy,Prince,4:40,0.0192,0.309,0.93,0.0022,0.106,-6.399,0.125,195.815,0.376
"Let's Dance - Single Version, 2014 Remaster",David Bowie,4:08,0.00773,0.643,0.627,0.00259,0.123,-10.972,0.0405,114.477,0.725
Stairway to Heaven - 1990 Remaster,Led Zeppelin,7:58,0.575,0.346,0.335,0.00674,0.185,-12.453,0.0339,84.204,0.213
"The Number of the Beast - Live At Estadio Nacional, Santiago",Iron Maiden,4:57,9.60E-04,0.294,0.938,0.00154,0.959,-7.556,0.108,97.865,0.373
Hey Jude - Remastered 2015,The Beatles,7:05,0.0112,0.386,0.607,1.38E-05,0.088,-7.7,0.0261,147.207,0.532
Born to Run,Bruce Springsteen,4:29,0.0511,0.253,0.868,0,0.214,-9.773,0.073,146.647,0.68
Be My Baby,The Ronettes,2:39,0.175,0.508,0.844,0,0.081,-4.74,0.0623,130.151,0.769
Creep,Radiohead,3:55,0.00563,0.532,0.344,4.73E-04,0.115,-13.057,0.035,91.834,0.126
Running Up That Hill (A Deal With God),Kate Bush,4:58,0.72,0.629,0.547,0.00314,0.0604,-13.123,0.055,108.375,0.197
Fix You,Coldplay,4:55,0.164,0.209,0.417,0.00196,0.113,-8.74,0.0338,138.178,0.124
Only When You Leave,Spandau Ballet,5:08,0.244,0.585,0.831,4.64E-06,0.0539,-6.206,0.0453,137.271,0.701
Ironic - 2015 Remaster,Alanis Morissette,3:50,0.218,0.408,0.582,0,0.159,-8.305,0.0508,114.926,0.365
Song 2,Blur,2:01,0.00188,0.658,0.709,0.00447,0.0657,-6.736,0.0904,129.701,0.855
People Get Ready - Single Version,The Impressions,2:37,0.486,0.423,0.227,2.42E-04,0.246,-15.978,0.0414,143.346,0.37
God Only Knows - Remastered 1999,The Beach Boys,2:55,0.104,0.489,0.46,0,0.0455,-9.668,0.0305,115.939,0.323
In The Air Tonight,Phil Collins,5:26,0.755,0.586,0.234,1.53E-05,0.0893,-14.195,0.0277,94.643,0.334
Where Are We Now?,David Bowie,4:09,0.0356,0.551,0.301,0.0106,0.121,-15.213,0.0241,79.966,0.458
(Sittin' On) the Dock of the Bay,Otis Redding,2:46,0.724,0.484,0.312,1.65E-06,0.0601,-13.522,0.0535,205.981,0.598
Once in a Lifetime - 2005 Remaster,Talking Heads,4:19,0.181,0.644,0.919,0.134,0.622,-6.289,0.0561,117.459,0.871
Layla,Derek & The Dominos,7:13,0.475,0.415,0.653,0.469,0.301,-11.787,0.054,114.363,0.234
There Is a Light That Never Goes Out - 2008 Remaster,The Smiths,4:05,0.0428,0.522,0.763,0,0.123,-5.821,0.0272,136.018,0.876
I Walk The Line,Johnny Cash,2:45,0.806,0.858,0.382,0.00248,0.101,-15.954,0.0463,106.5,0.692
Sugar Magnolia - 2013 Remaster,Grateful Dead,3:19,0.174,0.598,0.516,1.32E-06,0.0816,-12.487,0.0413,154.446,0.671
Sympathy For The Devil,The Rolling Stones,6:16,0.604,0.657,0.675,0,0.0646,-10.967,0.242,115.577,0.587
River Deep - Mountain High,Ike & Tina Turner,4:04,0.472,0.621,0.972,5.85E-04,0.195,-3.791,0.0724,155.113,0.866
Rock and Roll - Alternate Mix,Led Zeppelin,3:39,0.00258,0.341,0.952,0.00318,0.0995,-7.045,0.0497,169.925,0.714
You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers,3:44,0.569,0.357,0.389,0,0.099,-9.702,0.0269,94.211,0.324
Light My Fire - New Stereo Mix Advanced Resolution,The Doors,6:58,0.149,0.462,0.629,1.94E-04,0.202,-11.963,0.0294,131.062,0.675
Fields Of Gold,Sting,3:37,0.346,0.653,0.344,0.0155,0.0715,-11.758,0.0246,104.009,0.291
One,U2,4:36,0.236,0.552,0.466,0.00115,0.128,-10.869,0.0274,90.702,0.34
No Woman No Cry,Bob Marley & The Wailers,4:10,0.0608,0.863,0.444,0,0.0526,-11.049,0.0367,97.083,0.724
Gimme Shelter,The Rolling Stones,4:30,0.464,0.633,0.649,0.0363,0.17,-8.272,0.0311,118.629,0.457
Kiss,Prince,3:46,0.0135,0.898,0.271,0.00138,0.0461,-12.238,0.091,111.485,0.742
Brass in Pocket,Pretenders,3:04,0.721,0.766,0.655,0,0.243,-6.676,0.0324,97.771,0.815
Make Me Smile (Come Up and See Me) - 2006 Remastered Version,Steve Harley,3:59,0.0605,0.574,0.795,1.50E-04,0.0986,-9.439,0.0357,141.625,0.851
That'll Be The Day,Buddy Holly,2:16,0.608,0.651,0.528,0,0.342,-8.033,0.0294,126.707,0.873
Dancing In The Street,Martha Reeves & The Vandellas,2:39,0.0483,0.575,0.471,3.78E-04,0.318,-14.529,0.0338,125.837,0.637
Everywhere,Michelle Branch,3:34,0.0136,0.523,0.828,2.55E-04,0.165,-4.696,0.0762,96.952,0.476
L.A. Woman,The Doors,7:51,0.0812,0.354,0.731,0.00124,0.115,-9.178,0.0382,170.633,0.697
Feel Good Inc.,Gorillaz,3:42,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,138.559,0.772
The Weight,The Band,4:36,0.228,0.63,0.371,5.05E-06,0.0798,-16.321,0.0532,144.296,0.462
Whole Lotta Love - 1990 Remaster,Led Zeppelin,5:33,0.0484,0.412,0.902,0.131,0.405,-11.6,0.405,89.74,0.422
Tutti Frutti,Little Richard,2:23,0.566,0.534,0.433,0,0.0514,-10.135,0.0635,184.899,0.963
Georgia On My Mind,Ray Charles,7:29,0.978,0.357,0.234,0.0312,0.478,-12.596,0.0419,107.21,0.213
Yesterday - Remastered 2015,The Beatles,2:05,0.871,0.401,0.189,0,0.0968,-11.189,0.0287,94.509,0.357
Easy Money,Johnny Marr,4:03,7.12E-04,0.509,0.962,0.00406,0.0587,-4.053,0.0441,134.572,0.845
Heartbreak Hotel,Elvis Presley,2:07,0.84,0.696,0.21,1.62E-06,0.107,-11.922,0.067,93.543,0.717
All Along the Watchtower,Jimi Hendrix,3:58,0.00282,0.429,0.812,2.44E-05,0.0882,-6.252,0.0657,113.279,0.625
1999,Prince,6:19,0.137,0.866,0.73,0,0.0843,-8.201,0.0767,118.523,0.625
Bridge over Troubled Water,Simon & Garfunkel,4:52,0.833,0.281,0.202,9.84E-04,0.101,-14.059,0.0279,82.341,0.282
I Got You (I Feel Good),James Brown,2:47,0.44,0.573,0.592,4.17E-06,0.0956,-6.724,0.13,144.408,0.707
Waterloo Sunset,The Kinks,3:13,0.0569,0.531,0.633,0,0.184,-8.948,0.0239,107.706,0.62
Blue Bayou,Linda Ronstadt,3:59,0.739,0.732,0.161,3.79E-04,0.105,-12.817,0.0306,95.21,0.5
The Tracks Of My Tears - Album Version (Stereo),Smokey Robinson & The Miracles,2:55,0.773,0.313,0.497,0,0.146,-6.221,0.0322,85.649,0.714
The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five,7:11,0.0249,0.947,0.607,4.76E-06,0.0861,-10.58,0.202,100.619,0.732
Jump Around,House Of Pain,3:34,0.0113,0.854,0.71,8.72E-05,0.166,-6.32,0.0793,106.894,0.818
When a Man Loves a Woman,Percy Sledge,2:50,0.131,0.191,0.604,0,0.132,-6.338,0.0337,65.11,0.293
Ever Fallen in Love (With Someone You Shouldn't've)?,Buzzcocks,2:42,0.0657,0.259,0.737,5.36E-06,0.0521,-11.487,0.0401,175.068,0.859
Louie Louie,The Kingsmen,2:45,0.102,0.623,0.709,0,0.0967,-9.818,0.0636,122.394,0.948
Long Tall Sally,Little Richard,2:11,0.776,0.402,0.753,0,0.184,-5.929,0.119,185.509,0.823
Under the Bridge,Red Hot Chili Peppers,4:25,0.0168,0.554,0.49,5.34E-04,0.136,-8.046,0.0457,84.275,0.513
Anarchy In The UK,Sex Pistols,3:31,0.225,0.362,0.946,2.51E-05,0.506,-8.627,0.0896,134.184,0.212
A Whiter Shade Of Pale - Live,Procol Harum,7:46,0.841,0.263,0.624,0.507,0.975,-7.583,0.0549,131.99,0.2
Everyday Is Like Sunday,Morrissey,3:33,0.00593,0.613,0.704,0.482,0.203,-10.732,0.0279,116.904,0.623
Billie Jean - Single Version,Michael Jackson,4:52,0.0186,0.923,0.582,0.0366,0.0453,-5.115,0.0417,117.182,0.82
The Times They Are A-Changin',Bob Dylan,3:12,0.887,0.389,0.396,0,0.0828,-7.999,0.0332,171.86,0.585
Let's Stay Together,Al Green,3:18,0.527,0.728,0.467,2.40E-05,0.0416,-7.394,0.0501,101.536,0.584
Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,2:53,0.741,0.35,0.573,2.03E-05,0.171,-11.34,0.0317,163.654,0.562
Bo Diddley - 1973 Album Version (Stereo),Bo Diddley,2:55,0.0615,0.769,0.773,0.0744,0.056,-8.612,0.0609,110.502,0.865
For What It's Worth,Buffalo Springfield,2:33,0.406,0.653,0.519,0.0209,0.101,-10.164,0.0497,98.883,0.822
Fast Car,Tracy Chapman,4:56,0.313,0.711,0.292,0,0.131,-15.523,0.037,103.951,0.194
Life on Mars? - 2003 Ken Scott Mix,David Bowie,3:48,0.238,0.466,0.519,0,0.0675,-9.056,0.0313,123.483,0.137
Redemption Song,Bob Marley & The Wailers,3:47,0.585,0.666,0.259,0,0.079,-10.721,0.04,116.082,0.698
Jailhouse Rock,Elvis Presley,2:34,0.303,0.631,0.639,5.54E-06,0.0699,-7.842,0.0961,167.351,0.89
Starman - 2012 Remaster,David Bowie,4:14,0.166,0.486,0.449,2.23E-06,0.54,-10.298,0.0267,100.456,0.549
Tangled Up In Blue,Bob Dylan,5:41,0.32,0.429,0.749,0,0.0809,-10.194,0.0414,99.699,0.574
Love Shack - Edit,The B-52's,4:17,0.142,0.701,0.792,1.28E-06,0.764,-8.644,0.0549,133.451,0.9
